artista,track,playcount,listeners
Love of Lesbian,2009. Voy A Romper Las Ventanas,107214,14021
Love of Lesbian,"Houston, tenemos un problema",75184,13823
Love of Lesbian,La Noche Eterna,106630,13763
Love of Lesbian,Mi primera combustión,91625,13492
Love of Lesbian,Música de ascensores,81816,13328
Love of Lesbian,Dios Por Dios Es Cuatro,85145,13307
Love of Lesbian,Shiwa,86471,13068
Love of Lesbian,La Parábola Del Tonto,99223,13057
Love of Lesbian,Villancico Para Mi Cuñado Fernando,94883,13057
Love of Lesbian,"Marlene, la vecina del ártico",73520,12696
Love of Lesbian,"Si tu me dices Ben, yo digo Affleck",85007,12598
Love of Lesbian,Pizzigatos,102356,12277
Love of Lesbian,Historia De Una Hache Que No Quería Ser Muda,87466,12163
Love of Lesbian,Te hiero mucho (historia del amante guisante),99163,12048
Love of Lesbian,Carta a Todas Tus Catástrofes,60633,11615
Love of Lesbian,Los toros en la Wii - Fantástico,92511,11475
Love of Lesbian,Nadie por las calles,90455,11031
Love of Lesbian,Nada,76155,10875
Love of Lesbian,All These Days,23620,10713
Love of Lesbian,Move On,21637,10650
Estopa,Vino Tinto,444846,77686
Estopa,Tu Calorro,420794,73450
Estopa,Como Camarón,538260,57091
Estopa,Me Falta El Aliento,228128,49890
Estopa,Cacho A Cacho,272967,46867
Estopa,Por La Raja De Tu Falda,302394,41729
Estopa,La Raja De Tu Falda,148959,40124
Estopa,Partiendo La Pana,162982,36471
Estopa,Ya No Me Acuerdo,204814,35979
Estopa,Luna Lunera,134553,34777
Estopa,Poquito A Poco,121906,30827
Estopa,Destrangis In The Night,118089,30340
Estopa,El Blade,82311,29832
Estopa,Paseo,187685,29191
Estopa,Tragicomedia,164444,28431
Estopa,Demonios,110153,28256
Estopa,El Del Medio De Los Chichos,128209,27867
Estopa,Como Camaron,106231,27685
Estopa,Vacaciones,155579,26892
Estopa,Mi Primera Cana,91076,26376
Estopa,Exiliado En El Lavabo,101743,26107
Estopa,Cuando Cae La Luna,100415,25901
Estopa,Pastillas De Freno,138332,22743
Estopa,Suma Y Sigue,81366,22657
Estopa,Bossanova,122175,22142
Estopa,Malabares,106849,21315
Estopa,Fuente De Energia,95512,21313
Estopa,Cuando Amanece,104109,19779
Estopa,Vuelvo A Las Andadas,70545,19387
Estopa,Tan Solo,72993,18835
Estopa,Te Vi Te Vi,58734,18677
Estopa,Estopa,73107,18447
Estopa,Fin De Semana,71570,17887
Estopa,Penas Con Rumba,78122,17110
Estopa,Hemicraneal,94557,16406
Estopa,Jardin Del Olvido,47339,14966
Estopa,El Run Run (With Rosario),81131,14769
Estopa,Nasio Pa La Alegria,44460,14734
Estopa,No Quiero Verla Mas,45493,14680
Estopa,Estrella Fugaz,51402,13835
Estopa,La Primavera,67689,13721
Estopa,Cuerpo Triste,61706,13223
Estopa,Pastillas Para Dormir,73098,13169
Estopa,Lunes,57202,13167
Estopa,Ojitos Rojos (Directo),42831,13107
Estopa,Me quedaré,89186,12933
Estopa,El Run Run,49144,11616
Estopa,Tanta Tinta Tonta,53895,11474
Estopa,Camiseta de Rokanrol,72777,11451
Estopa,Monstruos,47676,11305
Mägo de Oz,Fiesta Pagana,875211,118921
Mägo de Oz,Molinos De Viento,711500,97315
Mägo de Oz,La Costa Del Silencio,475110,67610
Mägo de Oz,La Danza Del Fuego,328425,48542
Mägo de Oz,Haste Que El Cuerpo Aguante,361068,43702
Mägo de Oz,La Posada de los Muertos,243398,38104
Mägo de Oz,La Rosa De Los Vientos,208385,33943
Mägo de Oz,Hoy toca ser feliz,220636,32848
Mägo de Oz,Satania,154745,25463
